Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,"564,750","495,720","494,420","478,490","508,710","520,010","199,910","25,620","284,940","406,480"
Syria,"10,830","9,050","7,920","6,200","3,590","2,130",980,440,"1,390","2,350"
Taiwan,"469,630","464,570","490,630","501,450","522,520","523,490","206,690","47,970","109,110","348,090"
Tajikistan,"1,710","1,900","2,160","1,900","1,730","1,960",800,560,"1,540","2,290"
Tanzania,"8,140","9,150","8,290","6,200","6,460","7,720","3,020","1,530","5,370","8,070"
Thailand,"117,400","114,050","119,810","100,680","98,770","127,910","45,700","20,980","66,680","93,160"
Timor-Leste,270,270,270,250,230,320,140,50,230,290
Togo,"2,090","2,400","2,700","2,540","2,560","2,900","1,160",700,"1,290","2,730"
Tokelau,220,100,100,50,50,40,10,10,10,20
Tonga,"2,050","2,870","4,010","3,150","2,330","3,100","1,300",90,750,"2,320"
Trinidad and Tobago,"171,700","187,220","194,920","154,950","131,990","209,920","87,270","15,840","111,920","160,810"
Tunisia,"11,710","11,720","13,200","11,370","10,860","12,480","5,140","3,260","9,050","11,140"
Turkey,"205,110","215,970","231,460","178,170","155,840","188,780","89,000","61,440","127,380","180,240"
Turkmenistan,"1,680","1,610","1,470","1,400","1,220","1,250",520,100,670,"2,510"
Turks and Caicos Islands,"11,070","11,250","12,140","10,060","14,830","23,120","11,350","11,330","20,630","22,770"
Tuvalu,190,160,200,170,170,190,80,10,80,190
Uganda,"9,640","10,650","10,810","10,030","11,250","14,120","5,430","2,550","6,580","11,700"
Ukraine,"93,340","110,260","118,570","98,840","94,820","118,330","62,890","47,660","70,500","66,680"
United Arab Emirates,"110,860","121,690","125,140","90,250","114,630","142,420","48,780","49,620","95,920","120,610"
United Kingdom,"4,456,510","4,228,180","4,678,570","4,731,770","5,053,930","5,220,620","2,124,260","155,170","3,048,020","4,190,460"
United States2,"825,910","807,700","949,340","3,471,880","4,234,510","978,620","557,910","553,680","1,009,880","1,328,780"
Uruguay,"91,200","89,970","94,650","76,010","79,530","94,870","32,690","24,760","63,810","69,700"
Uzbekistan,"9,320","11,390","11,320","8,450","8,330","10,120","3,190","1,290","8,650","13,310"
Vanuatu,350,360,450,280,300,390,150,20,200,490
Venezuela,"790,900","641,330","635,840","522,270","449,030","461,220","161,900","169,270","216,430","193,890"
Vietnam,"87,930","107,980","114,560","112,520","115,590","135,910","49,710","11,980","55,600","124,140"
"Virgin Islands, British","33,050","33,930","31,860","28,780","25,250","47,370","21,200","5,240","19,340","28,820"
"Virgin Islands, U.S.",360,480,440,320,420,720,280,110,490,720
Wallis and Futuna,60,50,50,40,300,390,180,40,20,60
Western Sahara,140,130,140,180,150,200,60,30,50,20
Yemen,"3,830","3,560","3,560","2,390","1,040",920,540,500,960,"1,840"
Zambia,"5,040","5,180","5,050","4,620","4,590","5,310","2,180","1,090","3,470","5,620"
Zimbabwe,"8,600","9,310","9,400","7,960","8,110","10,430","4,210","2,150","7,360","14,040"
